url,strategy,performance,accessibility,best_practices,seo,error
https://www.generasimaju.co.id/,mobile,72,77,92,100,
https://www.generasimaju.co.id/,desktop,71,79,92,100,
https://www.generasimaju.co.id/search?q=Zat+Besi,mobile,53,80,73,69,
https://www.generasimaju.co.id/search?q=Zat+Besi,desktop,88,76,77,69,
https://www.generasimaju.co.id/klub-generasi-maju/submit-kode-unik,mobile,87,79,77,100,
https://www.generasimaju.co.id/klub-generasi-maju/submit-kode-unik,desktop,42,79,73,100,
https://www.generasimaju.co.id/klub-generasi-maju/login,mobile,76,84,77,92,
https://www.generasimaju.co.id/klub-generasi-maju/login,desktop,48,83,73,92,
https://www.generasimaju.co.id/klub-generasi-maju/register,mobile,70,77,77,92,
https://www.generasimaju.co.id/klub-generasi-maju/register,desktop,61,76,73,92,
https://www.generasimaju.co.id/produk,mobile,68,77,73,92,
https://www.generasimaju.co.id/produk,desktop,71,73,77,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-1-plus,mobile,64,71,73,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-1-plus,desktop,38,71,73,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-3-plus,mobile,65,71,77,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-3-plus,desktop,38,71,77,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-5-plus,mobile,66,71,77,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-5-plus,desktop,39,71,77,92,
https://www.generasimaju.co.id/produk/sgm-bunda-hamil-menyusui,mobile,67,71,73,92,
https://www.generasimaju.co.id/produk/sgm-bunda-hamil-menyusui,desktop,47,71,73,92,
https://www.generasimaju.co.id/produk/sgm-family-yummy-nutri,mobile,65,74,73,92,
https://www.generasimaju.co.id/produk/sgm-family-yummy-nutri,desktop,40,75,77,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-soya,mobile,62,74,73,92,
https://www.generasimaju.co.id/produk/sgm-eksplor-soya,desktop,40,75,73,92,
https://www.generasimaju.co.id/produk/sgm-optigrow,mobile,63,74,73,92,
https://www.generasimaju.co.id/produk/sgm-optigrow,desktop,46,78,77,92,
https://www.generasimaju.co.id/artikel,mobile,47,81,73,100,
https://www.generasimaju.co.id/artikel,desktop,74,79,77,100,
https://www.generasimaju.co.id/artikel/menyusui/nutrisi/vitamin-c-untuk-ibu-menyusui,mobile,81,76,77,92,
https://www.generasimaju.co.id/artikel/menyusui/nutrisi/vitamin-c-untuk-ibu-menyusui,desktop,66,72,77,92,
https://www.generasimaju.co.id/tools/kalkulator-zat-besi,mobile,90,83,77,100,
https://www.generasimaju.co.id/tools/kalkulator-zat-besi,desktop,76,83,73,100,
https://www.generasimaju.co.id/tools/kalkulator-zat-besi-bunda,mobile,84,83,77,100,
https://www.generasimaju.co.id/tools/kalkulator-zat-besi-bunda,desktop,61,83,73,100,
https://www.generasimaju.co.id/klub-generasi-maju,mobile,79,80,73,100,
https://www.generasimaju.co.id/klub-generasi-maju,desktop,61,80,77,100,
https://www.generasimaju.co.id/teman-bunda,mobile,47,87,77,100,
https://www.generasimaju.co.id/teman-bunda,desktop,44,86,73,100,
https://www.generasimaju.co.id/diary-generasi-maju,mobile,73,79,77,92,
https://www.generasimaju.co.id/diary-generasi-maju,desktop,60,79,73,92,
https://www.generasimaju.co.id/sekolah-generasi-maju,mobile,70,84,73,100,
https://www.generasimaju.co.id/sekolah-generasi-maju,desktop,63,79,73,100,
https://www.generasimaju.co.id/generasi-maju-bebas-stunting,mobile,64,74,73,92,
https://www.generasimaju.co.id/generasi-maju-bebas-stunting,desktop,53,76,77,92,
https://www.generasimaju.co.id/bersama-cegah-anemia,mobile,73,74,73,92,
https://www.generasimaju.co.id/bersama-cegah-anemia,desktop,63,74,77,92,
https://www.generasimaju.co.id/tools/kalkulator-kehamilan,mobile,34,82,73,92,
https://www.generasimaju.co.id/tools/kalkulator-kehamilan,desktop,64,79,77,92,
https://www.generasimaju.co.id/tools/cek-resiko-alergi,mobile,94,80,88,92,
https://www.generasimaju.co.id/tools/cek-resiko-alergi,desktop,64,80,73,92,
https://www.generasimaju.co.id/event-dan-promo,mobile,67,75,73,100,
https://www.generasimaju.co.id/event-dan-promo,desktop,79,71,77,100,
